"OHXRCAR.Code.or.Value","OHXRCAR.Value.Description","OHXRCAR.Count","OHXRCAR.Cumulative","OHXRCAR.Skip.to.Item"
"1","Root caries detected",526,526,NA
"2","No root caries detected",3687,4213,NA
"9","Cannot be assessed",4,4217,NA
".","Missing",5381,9598,NA
