"RXDRSC1.Code.or.Value","RXDRSC1.Value.Description","RXDRSC1.Count","RXDRSC1.Cumulative","RXDRSC1.Skip.to.Item"
"ICD-10-CM code 1","Value was recorded",13633,13633,NA
"55555","Unknown",41,13674,NA
"77777","Refused",8,13682,NA
"99999","Don't know",340,14022,NA
"< blank >","Missing",6172,20194,NA
