"MCQ260GH.Code.or.Value","MCQ260GH.Value.Description","MCQ260GH.Count","MCQ260GH.Cumulative","MCQ260GH.Skip.to.Item"
"8","Sister",27,27,NA
".","Missing",10443,10470,NA
