"DS2TSFAT.Code.or.Value","DS2TSFAT.Value.Description","DS2TSFAT.Count","DS2TSFAT.Cumulative","DS2TSFAT.Skip.to.Item"
"0.05 to 15","Range of Values",89,89,NA
".","Missing",8615,8704,NA
