"LBDTNALC.Code.or.Value","LBDTNALC.Value.Description","LBDTNALC.Count","LBDTNALC.Cumulative","LBDTNALC.Skip.to.Item"
"0","At or above the detection limit",258,258,NA
"1","Below lower detection limit",6,264,NA
".","Missing",0,264,NA
