"DX2HELI.Code.or.Value","DX2HELI.Value.Description","DX2HELI.Count","DX2HELI.Cumulative","DX2HELI.Skip.to.Item"
"2483.7 to 5117.9","Range of Values",479,479,NA
".","Missing",6,485,NA
