"DSQTSELE.Code.or.Value","DSQTSELE.Value.Description","DSQTSELE.Count","DSQTSELE.Cumulative","DSQTSELE.Skip.to.Item"
"0.1 to 67012.5","Range of Values",1368,1368,NA
".","Missing",8388,9756,NA
