"URXDHB.Code.or.Value","URXDHB.Value.Description","URXDHB.Count","URXDHB.Cumulative","URXDHB.Skip.to.Item"
"24.7 to 3890","Range of Values",2655,2655,NA
".","Missing",324,2979,NA
