"DR2IMFAT.Code.or.Value","DR2IMFAT.Value.Description","DR2IMFAT.Count","DR2IMFAT.Cumulative","DR2IMFAT.Skip.to.Item"
"0 to 99.395","Range of Values",128570,128570,NA
".","Missing",571,129141,NA
