"LBCPCBLA.Code.or.Value","LBCPCBLA.Value.Description","LBCPCBLA.Count","LBCPCBLA.Cumulative","LBCPCBLA.Skip.to.Item"
"2.74 to 86.7","Range of Values",247,247,NA
".","Missing",17,264,NA
