"WBXP050.Code.or.Value","WBXP050.Value.Description","WBXP050.Count","WBXP050.Cumulative","WBXP050.Skip.to.Item"
"-107.4244 to 167.3178","Range of Values",8551,8551,NA
".","Missing",3,8554,NA
