"DRXTMAGN.Code.or.Value","DRXTMAGN.Value.Description","DRXTMAGN.Count","DRXTMAGN.Cumulative","DRXTMAGN.Skip.to.Item"
"0 to 2028","Range of Values",9701,9701,NA
".","Missing",776,10477,NA
