"VIXPLS.Code.or.Value","VIXPLS.Value.Description","VIXPLS.Count","VIXPLS.Cumulative","VIXPLS.Skip.to.Item"
"-14.75 to 12.5","Range of Values",1920,1920,NA
"88","Could not obtain",45,1965,NA
".","Missing",4793,6758,NA
