"DXXPT19Y.Code.or.Value","DXXPT19Y.Value.Description","DXXPT19Y.Count","DXXPT19Y.Cumulative","DXXPT19Y.Skip.to.Item"
"181.2 to 417","Range of Values",3241,3241,NA
".","Missing",467,3708,NA
