"ARQ030B.Code.or.Value","ARQ030B.Value.Description","ARQ030B.Count","ARQ030B.Cumulative","ARQ030B.Skip.to.Item"
"1","Yes",692,692,""
"2","No",724,1416,"ARQ030c"
"7","Refused",0,1416,"ARQ030c"
"9","Don't know",6,1422,"ARQ030c"
".","Missing",3684,5106,""
