"SMQ666K.Code.or.Value","SMQ666K.Value.Description","SMQ666K.Count","SMQ666K.Cumulative","SMQ666K.Skip.to.Item"
"1","Regulars",2,2,NA
"2","Lights",3,5,NA
"3","Ultralights",0,5,NA
"7","Refused",0,5,NA
"9","Don't know",0,5,NA
".","Missing",7440,7445,NA
