"AUXR1K1R.Code.or.Value","AUXR1K1R.Value.Description","AUXR1K1R.Count","AUXR1K1R.Cumulative","AUXR1K1R.Skip.to.Item"
"20 to 75","Range of Values",11,11,NA
"666","No response",1,12,NA
"888","Could not obtain",0,12,NA
".","Missing",1795,1807,NA
