"DR2IVB6.Code.or.Value","DR2IVB6.Value.Description","DR2IVB6.Count","DR2IVB6.Cumulative","DR2IVB6.Skip.to.Item"
"0 to 18.6","Range of Values",128570,128570,NA
".","Missing",571,129141,NA
