"DIQ050.Code.or.Value","DIQ050.Value.Description","DIQ050.Count","DIQ050.Cumulative","DIQ050.Skip.to.Item"
"1","Yes",254,254,""
"2","No",8642,8896,"DIQ065"
"7","Refused",0,8896,"DIQ065"
"9","Don't know",1,8897,"DIQ065"
".","Missing",0,8897,""
