"URXPPX.Code.or.Value","URXPPX.Value.Description","URXPPX.Count","URXPPX.Cumulative","URXPPX.Skip.to.Item"
"0.78 to 180","Range of Values",1917,1917,NA
".","Missing",208,2125,NA
