"BPQ060.Code.or.Value","BPQ060.Value.Description","BPQ060.Count","BPQ060.Cumulative","BPQ060.Skip.to.Item"
"1","Yes",3486,3486,""
"2","No",1378,4864,"BPD110a"
"7","Refused",0,4864,"BPD110a"
"9","Don't know",176,5040,"BPD110a"
".","Missing",1173,6213,""
