"DXXPT94Y.Code.or.Value","DXXPT94Y.Value.Description","DXXPT94Y.Count","DXXPT94Y.Cumulative","DXXPT94Y.Skip.to.Item"
"168 to 394.5","Range of Values",3241,3241,NA
".","Missing",467,3708,NA
