"LBCF03.Code.or.Value","LBCF03.Value.Description","LBCF03.Count","LBCF03.Cumulative","LBCF03.Skip.to.Item"
"1.36 to 77.9","Range of Values",247,247,NA
".","Missing",17,264,NA
