"LEXLPTSM.Code.or.Value","LEXLPTSM.Value.Description","LEXLPTSM.Count","LEXLPTSM.Cumulative","LEXLPTSM.Skip.to.Item"
"69.5 to 249","Range of Values",2250,2250,NA
".","Missing",625,2875,NA
