"OSQ120a.Code.or.Value","OSQ120a.Value.Description","OSQ120a.Count","OSQ120a.Cumulative","OSQ120a.Skip.to.Item"
"1","Yes",275,275,""
"2","No",1032,1307,"OSQ060"
"7","Refused",0,1307,"OSQ060"
"9","Don't know",0,1307,"OSQ060"
".","Missing",4911,6218,""
