"DSQTVB1.Code.or.Value","DSQTVB1.Value.Description","DSQTVB1.Count","DSQTVB1.Cumulative","DSQTVB1.Skip.to.Item"
"0.004 to 1500","Range of Values",1968,1968,NA
".","Missing",7788,9756,NA
