"DR2ICALC.Code.or.Value","DR2ICALC.Value.Description","DR2ICALC.Count","DR2ICALC.Cumulative","DR2ICALC.Skip.to.Item"
"0 to 7976","Range of Values",120673,120673,NA
".","Missing",668,121341,NA
