"WTSCI14.Code.or.Value","WTSCI14.Value.Description","WTSCI14.Count","WTSCI14.Cumulative","WTSCI14.Skip.to.Item"
"0 to 457116.57848","Range of Values",727,727,NA
".","Missing",51,778,NA
