"DR2TP225.Code.or.Value","DR2TP225.Value.Description","DR2TP225.Count","DR2TP225.Cumulative","DR2TP225.Skip.to.Item"
"0 to 2.324","Range of Values",8220,8220,NA
".","Missing",1423,9643,NA
