"URDBUPLC.Code.or.Value","URDBUPLC.Value.Description","URDBUPLC.Count","URDBUPLC.Cumulative","URDBUPLC.Skip.to.Item"
"0","At or above the detection limit",1211,1211,NA
"1","Below lower detection limit",1337,2548,NA
".","Missing",90,2638,NA
