"RFXC026.Code.or.Value","RFXC026.Value.Description","RFXC026.Count","RFXC026.Cumulative","RFXC026.Skip.to.Item"
"-6.466 to 3.619","Range of Values",51068,51068,NA
".","Missing",8,51076,NA
