"DCQ240.Code.or.Value","DCQ240.Value.Description","DCQ240.Count","DCQ240.Cumulative","DCQ240.Skip.to.Item"
"1","Yes",861,861,NA
"2","No",74,935,NA
".","Missing",395,1330,NA
