"PFQ061H.Code.or.Value","PFQ061H.Value.Description","PFQ061H.Count","PFQ061H.Cumulative","PFQ061H.Skip.to.Item"
"1","No difficulty",2211,2211,NA
"2","Some difficulty",238,2449,NA
"3","Much difficulty",47,2496,NA
"4","Unable to do",57,2553,NA
"5","Do not do this activity",15,2568,NA
"7","Refused",0,2568,NA
"9","Don't know",0,2568,NA
".","Missing",7077,9645,NA
