"ORXH62.Code.or.Value","ORXH62.Value.Description","ORXH62.Count","ORXH62.Cumulative","ORXH62.Skip.to.Item"
"1","Positive",27,27,NA
"2","Negative",4383,4410,NA
"3","Not evaluated",386,4796,NA
".","Missing",0,4796,NA
