"WBXF056.Code.or.Value","WBXF056.Value.Description","WBXF056.Count","WBXF056.Cumulative","WBXF056.Skip.to.Item"
"1834.0081 to 1834.0081","Range of Values",5682,5682,NA
".","Missing",0,5682,NA
