"DS1ACTSS.Code.or.Value","DS1ACTSS.Value.Description","DS1ACTSS.Count","DS1ACTSS.Cumulative","DS1ACTSS.Skip.to.Item"
"0.1 to 10","Range of Values",5829,5829,NA
"999","Don't know",0,5829,NA
".","Missing",129,5958,NA
