"LBDALCLC.Code.or.Value","LBDALCLC.Value.Description","LBDALCLC.Count","LBDALCLC.Cumulative","LBDALCLC.Skip.to.Item"
"0","At or above the detection limit",5796,5796,NA
"1","Below lower detection limit",486,6282,NA
".","Missing",1153,7435,NA
