"MCQ160C.Code.or.Value","MCQ160C.Value.Description","MCQ160C.Count","MCQ160C.Cumulative","MCQ160C.Skip.to.Item"
"1","Yes",253,253,""
"2","No",5653,5906,"MCQ160D"
"7","Refused",0,5906,"MCQ160D"
"9","Don't know",29,5935,"MCQ160D"
".","Missing",3731,9666,""
