"PFD069J.Code.or.Value","PFD069J.Value.Description","PFD069J.Count","PFD069J.Cumulative","PFD069J.Skip.to.Item"
"1 to 23011","Range of Values",226,226,NA
"66666","Since birth",1,227,NA
"77777","Refused",0,227,NA
"99999","Don't know",6,233,NA
".","Missing",9589,9822,NA
