"LBXSF3SI.Code.or.Value","LBXSF3SI.Value.Description","LBXSF3SI.Count","LBXSF3SI.Cumulative","LBXSF3SI.Skip.to.Item"
"0.141 to 38.9","Range of Values",8057,8057,NA
".","Missing",1108,9165,NA
