"BMXHT.Code.or.Value","BMXHT.Value.Description","BMXHT.Count","BMXHT.Cumulative","BMXHT.Skip.to.Item"
"79.1 to 202.7","Range of Values",9420,9420,NA
".","Missing",833,10253,NA
