"URXUTM.Code.or.Value","URXUTM.Value.Description","URXUTM.Count","URXUTM.Cumulative","URXUTM.Skip.to.Item"
"0.71 to 19.6","Range of Values",2576,2576,NA
".","Missing",144,2720,NA
