"DS1ICAFF.Code.or.Value","DS1ICAFF.Value.Description","DS1ICAFF.Count","DS1ICAFF.Cumulative","DS1ICAFF.Skip.to.Item"
"70 to 400","Range of Values",12,12,NA
".","Missing",5358,5370,NA
