"AUDTYR58.Code.or.Value","AUDTYR58.Value.Description","AUDTYR58.Count","AUDTYR58.Cumulative","AUDTYR58.Skip.to.Item"
"0 to 1.97","Range of Values",1140,1140,NA
".","Missing",70,1210,NA
