"URDUDALC.Code.or.Value","URDUDALC.Value.Description","URDUDALC.Count","URDUDALC.Cumulative","URDUDALC.Skip.to.Item"
"0","At or above the detection limit",2316,2316,NA
"1","Below lower detection limit",555,2871,NA
".","Missing",70,2941,NA
