"LBDSGBSI.Code.or.Value","LBDSGBSI.Value.Description","LBDSGBSI.Count","LBDSGBSI.Cumulative","LBDSGBSI.Skip.to.Item"
"14 to 65","Range of Values",6544,6544,NA
".","Missing",435,6979,NA
