"URDEPBLC.Code.or.Value","URDEPBLC.Value.Description","URDEPBLC.Count","URDEPBLC.Cumulative","URDEPBLC.Skip.to.Item"
"0","At or above the detection limit",1008,1008,NA
"1","Below lower detection limit",1540,2548,NA
".","Missing",90,2638,NA
