"DXDSTLE.Code.or.Value","DXDSTLE.Value.Description","DXDSTLE.Count","DXDSTLE.Cumulative","DXDSTLE.Skip.to.Item"
"11085.6 to 100464.1","Range of Values",5110,5110,NA
".","Missing",923,6033,NA
