"LBC206LA.Code.or.Value","LBC206LA.Value.Description","LBC206LA.Count","LBC206LA.Cumulative","LBC206LA.Skip.to.Item"
"0.1414 to 21.85","Range of Values",301,301,NA
".","Missing",0,301,NA
