"RHQ560Q.Code.or.Value","RHQ560Q.Value.Description","RHQ560Q.Count","RHQ560Q.Cumulative","RHQ560Q.Skip.to.Item"
"1 to 53","Range of Values",330,330,NA
"77","Refused",0,330,NA
"99","Don't know",8,338,NA
".","Missing",3407,3745,NA
