"OHX25LAS.Code.or.Value","OHX25LAS.Value.Description","OHX25LAS.Count","OHX25LAS.Cumulative","OHX25LAS.Skip.to.Item"
"0 to 10","Range of Values",3254,3254,NA
"99","Cannot be assessed",732,3986,NA
".","Missing",683,4669,NA
