"WTMREP11.Code.or.Value","WTMREP11.Value.Description","WTMREP11.Count","WTMREP11.Cumulative","WTMREP11.Skip.to.Item"
"0 to 265082.90502","Range of Values",9965,9965,NA
".","Missing",0,9965,NA
