"TYXP045.Code.or.Value","TYXP045.Value.Description","TYXP045.Count","TYXP045.Cumulative","TYXP045.Skip.to.Item"
"-51 to 191","Range of Values",5583,5583,NA
".","Missing",2,5585,NA
