"RFXT031.Code.or.Value","RFXT031.Value.Description","RFXT031.Count","RFXT031.Cumulative","RFXT031.Skip.to.Item"
"256 to 265","Range of Values",33704,33704,NA
".","Missing",17,33721,NA
