"LBDTHGSI.Code.or.Value","LBDTHGSI.Value.Description","LBDTHGSI.Count","LBDTHGSI.Cumulative","LBDTHGSI.Skip.to.Item"
"1 to 231.5","Range of Values",5215,5215,NA
".","Missing",717,5932,NA
