"DR2TCAFF.Code.or.Value","DR2TCAFF.Value.Description","DR2TCAFF.Count","DR2TCAFF.Cumulative","DR2TCAFF.Skip.to.Item"
"0 to 2407","Range of Values",7715,7715,NA
".","Missing",2047,9762,NA
