"LBDPDELC.Code.or.Value","LBDPDELC.Value.Description","LBDPDELC.Count","LBDPDELC.Cumulative","LBDPDELC.Skip.to.Item"
"0","detectable result",2296,2296,NA
"1","below detectable limit",2,2298,NA
".","Missing",249,2547,NA
