"PAD645.Code.or.Value","PAD645.Value.Description","PAD645.Count","PAD645.Cumulative","PAD645.Skip.to.Item"
"10 to 720","Range of Values",2336,2336,NA
"7777","Refused",0,2336,NA
"9999","Don't know",4,2340,NA
".","Missing",6767,9107,NA
