"DUQ320.Code.or.Value","DUQ320.Value.Description","DUQ320.Count","DUQ320.Cumulative","DUQ320.Skip.to.Item"
"1 to 30","Range of Values",9,9,NA
"77","Refused",0,9,NA
"99","Don't know",0,9,NA
".","Missing",4834,4843,NA
