"DRD340.Code.or.Value","DRD340.Value.Description","DRD340.Count","DRD340.Cumulative","DRD340.Skip.to.Item"
"1","Yes",3759,3759,""
"2","No",5098,8857,"DRD360"
"7","Refused",8,8865,"DRD360"
"9","Don't know",37,8902,"DRD360"
".","Missing",860,9762,""
