"DXDTOTOT.Code.or.Value","DXDTOTOT.Value.Description","DXDTOTOT.Count","DXDTOTOT.Cumulative","DXDTOTOT.Skip.to.Item"
"17349.5 to 184743.3","Range of Values",4521,4521,NA
".","Missing",1171,5692,NA
