"URXGAM.Code.or.Value","URXGAM.Value.Description","URXGAM.Count","URXGAM.Cumulative","URXGAM.Skip.to.Item"
"6.65 to 169","Range of Values",2356,2356,NA
".","Missing",106,2462,NA
