"LBXFER.Code.or.Value","LBXFER.Value.Description","LBXFER.Count","LBXFER.Cumulative","LBXFER.Skip.to.Item"
"3 to 1822","Range of Values",7849,7849,NA
".","Missing",983,8832,NA
