"DRD370QQ.Code.or.Value","DRD370QQ.Value.Description","DRD370QQ.Count","DRD370QQ.Cumulative","DRD370QQ.Skip.to.Item"
"1 to 6","Range of Values",28,28,NA
".","Missing",9516,9544,NA
